"","Country","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","ISO3","ISO3116"
"108","Morocco",4949,4513,4425,5447,5013,4399,3656,3336,3605,3710,"MAR",504
"109","Mozambique",78,81,69,66,53,60,94,73,71,107,"MOZ",508
"110","Namibia",56,57,46,53,60,43,59,57,44,86,"NAM",516
"111","Nepal",3733,3472,4093,4514,7115,10166,11312,13046,12357,12926,"NPL",524
"112","Netherlands",1651,1368,1240,1499,1321,1085,1091,1142,1195,1309,"NLD",528
"113","New Caledonia",7,5,5,13,6,5,3,6,6,9,"NCL",540
"114","New Zealand",1100,1047,893,947,919,803,814,921,796,855,"NZL",554
"115","Nicaragua",4145,3716,3614,4137,3565,3401,3046,3048,2886,3324,"NIC",558
"116","Niger",116,97,107,183,96,96,48,37,71,55,"NER",562
"117","Nigeria",13459,12448,12475,15253,13376,11824,13575,13840,12828,11542,"NGA",566
"118","Norway",481,343,350,407,334,339,276,335,271,310,"NOR",578
"119","Oman",155,103,70,74,63,60,74,73,90,85,"OMN",512
"120","Pakistan",17418,13492,19719,21555,18258,15546,14740,13251,18612,18057,"PAK",586
"121","Palau",8,11,6,16,18,7,10,16,12,15,"PLW",585
"122","Panama",2418,1916,1678,1806,1536,1374,1281,1234,1095,1052,"PAN",591
"123","Papua New Guinea",30,31,15,19,30,20,21,27,18,11,"PNG",598
"124","Paraguay",719,545,481,530,467,500,467,448,391,382,"PRY",600
"125","Peru",21718,17699,15184,16957,14247,14064,12609,12564,10606,10148,"PER",604
"126","Philippines",74606,72596,54030,60029,58173,57011,57327,54446,49996,56478,"PHL",608
"127","Poland",17051,10355,8354,8754,7643,6863,6300,6430,5689,5275,"POL",616
"128","Portugal",1409,1019,772,946,755,821,811,918,892,857,"PRT",620
"129","Qatar",226,138,151,134,148,193,141,191,202,229,"QAT",634
"130","Romania",7137,5802,4930,4910,4003,3882,3748,3773,3246,3376,"ROU",642
"131","Rwanda",502,357,378,952,489,520,592,540,555,732,"RWA",646
"132","Saint Lucia",1212,928,946,1027,872,785,919,853,844,739,"LCA",662
"133","Samoa",283,290,227,250,219,267,238,237,239,207,"WSM",882
"134","Saudi Arabia",1542,1171,1194,1418,1263,1396,1343,1463,1696,1744,"SAU",682
"135","Senegal",1367,1024,1149,1524,1285,1424,1615,1340,1273,1244,"SEN",686
"136","Serbia",NA,NA,NA,NA,20,244,704,866,1143,1278,"SRB",688
"137","Seychelles",15,7,16,10,8,15,7,6,7,11,"SYC",690
"138","Sierra Leone",3572,1999,2795,2687,2011,1985,1688,1651,1740,1599,"SLE",694
"139","Singapore",997,985,922,832,774,690,712,835,779,781,"SGP",702
"140","Slovakia",1111,763,653,706,538,594,528,507,460,424,"SVK",703
"141","Slovenia",115,87,79,108,74,69,86,62,78,107,"SVN",705
"142","Solomon Islands",5,10,7,NA,6,NA,NA,3,5,NA,"SLB",90
"143","Somalia",9462,6251,10745,13390,4558,4451,5204,3764,5190,6796,"SOM",706
"144","South Africa",3201,2988,2723,3171,2758,2649,2781,2629,2676,2907,"ZAF",710
"145","South Sudan",NA,NA,NA,NA,NA,NA,17,59,74,127,"SSD",728
"146","Spain",1971,1578,1621,1769,1684,1890,1842,2480,2928,3303,"ESP",724
"147","Sri Lanka",2191,1831,1935,2009,2036,2053,1994,1847,1767,1763,"LKA",144
"148","Sudan",5504,2930,3598,3577,2397,2628,2471,1945,2442,3580,"SDN",729
"149","Suriname",314,197,218,227,216,196,187,178,158,134,"SUR",740
"150","Swaziland",11,13,18,42,22,19,24,15,23,19,"SWZ",748
"151","Sweden",1376,1145,1019,1138,1097,979,968,1106,954,1066,"SWE",752
"152","Switzerland",983,705,720,798,675,615,635,697,656,640,"CHE",756
"153","Tajikistan",239,172,231,265,299,382,411,550,516,595,"TJK",762
"154","Thailand",11749,8751,6637,10444,9384,9962,9459,7583,6197,7502,"THA",764
"155","Togo",1720,1565,1661,1680,1563,1506,1756,1257,1612,1547,"TGO",768
"156","Tonga",437,438,365,379,343,408,276,348,320,327,"TON",776
"157","Tunisia",510,417,410,416,418,440,422,445,429,518,"TUN",788
"158","Turkey",4941,4425,4210,4958,4483,4403,4162,4144,3834,4201,"TUR",792
"159","Turkmenistan",248,217,274,290,224,260,223,210,254,226,"TKM",795
"160","Uganda",1372,1122,1174,1364,1085,1239,1340,1350,1409,1664,"UGA",800
"161","Ukraine",17140,11001,10813,11223,8477,8292,7642,8193,7752,7987,"UKR",804
"162","United Arab Emirates",1006,758,693,697,779,707,854,910,1039,1193,"ARE",784
"163","United Kingdom",17207,14545,14348,15748,12792,11572,12014,12984,12225,12592,"GBR",826
"164","Uruguay",1664,1418,1451,1775,1331,1553,1374,1352,1128,1078,"URY",858
"165","Uzbekistan",4015,4665,6375,5467,4770,5056,4726,4382,5194,3977,"UZB",860
"166","Venezuela, Bolivarian Republic of",11341,10692,10514,11154,9409,9183,9387,9572,8427,9144,"VEN",862
"167","Yemen",4308,2396,1872,3134,3591,3361,2620,3532,3492,3194,"YEM",887
"168","Zambia",672,576,613,704,628,652,643,505,441,460,"ZMB",894
"169","Zimbabwe",1049,1057,953,983,1274,1016,914,924,797,779,"ZWE",716
