,Country,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other,ISO3,ISO3116,Continent
94,Mali,590,25,15,312,13,176,49,MLI,466,AF
95,Malta,468, - ,12,17, - ,436, - ,MLT,470,EU
96,Marshall Islands,34, - ,3,31, - , - , - ,MHL,584,OC
97,Mauritania,256,4,3,102, - ,144, - ,MRT,478,AF
98,Mauritius,69,6,18,41, - , - , - ,MUS,480,AF
99,Mexico,157227,41497,6523,97593,23,757,10834,MEX,484,NA
100,Monaco,14, - ,5,5, - , - , - ,MCO,492,EU
101,Mongolia,632,31,86,330,67,97,21,MNG,496,AS
102,Montenegro,249,37,7,185, - ,13, - ,MNE,499,EU
103,Montserrat,10, - , - , - , - , - , - ,MSR,500,NA
104,Morocco,3569,288,70,2276,896,29,10,MAR,504,AF
105,Mozambique,165,5,10,25,7,118, - ,MOZ,508,AF
106,Namibia,168, - ,9,32, - ,121, - ,NAM,516,AF
107,Nepal,18936,647,1258,2154,3402,11457,18,NPL,524,AS
108,Netherlands,1505,50,693,678,67,13,4,NLD,528,EU
109,New Zealand,978,61,282,500,131, - , - ,NZL,554,OC
110,Nicaragua,3262,810,66,2133,3,119,131,NIC,558,NA
111,Niger,61, - , - ,45,8, - , - ,NER,562,AF
112,Nigeria,11120,1630,667,8131,530,134,28,NGA,566,AF
113,Norway,357,14,114,214,10, - , - ,NOR,578,EU
114,Oman,209,17,72,57,32,26,5,OMN,512,AS
115,Pakistan,17598,6627,1944,8124,21,806,76,PAK,586,AS
116,Palau,18, - ,4,10, - , - , - ,PLW,585,OC
117,Panama,1133,191,113,770,8,38,13,PAN,591,NA
118,Papua New Guinea,15, - ,5,6, - , - , - ,PNG,598,OC
119,Paraguay,353,23,50,259, - ,18,3,PRY,600,SA
120,Peru,9973,2504,482,6611, - ,155,221,PER,604,SA
121,Philippines,54307,15486,9459,29103,6,15,238,PHL,608,AS
122,Poland,4921,872,648,2957,386,13,45,POL,616,EU
123,Portugal,869,85,183,551,25,10,15,PRT,620,EU
124,Qatar,503,89,95,166,129,24, - ,QAT,634,AS
125,Romania,3160,225,406,1890,472,161,6,ROU,642,EU
126,Rwanda,1107, - ,24,72,198,802, - ,RWA,646,AF
127,Saint Lucia,743,191,33,507, - , - ,6,LCA,662,NA
128,Samoa,189, - , - ,181, - , - , - ,WSM,882,OC
129,Saudi Arabia,2108,283,335,926,440,121,3,SAU,682,AS
130,Senegal,1272,125,58,843,101,101,44,SEN,686,AF
131,Serbia,1284,94,112,829,221, - , - ,SRB,688,EU
132,Seychelles,11, - , - , - , - , - , - ,SYC,690,AF
133,Sierra Leone,1492,114,38,852,401,80,7,SLE,694,AF
134,Singapore,1684,108,1145,384,32,11,4,SGP,702,AS
135,Slovakia,542,10,79,248,38,163,4,SVK,703,EU
136,Slovenia,98, - ,28,66, - , - , - ,SVN,705,EU
137,Somalia,518,11, - ,231,12,261, - ,SOM,706,AF
138,South Africa,3298,93,762,1327,345,757,14,ZAF,710,AF
139,South Sudan,71, - , - ,47, - ,11, - ,SSD,728,AF
140,Spain,3707,214,1188,1465,190,643,7,ESP,724,EU
141,Sri Lanka,1530,198,382,522,223,195,10,LKA,144,AS
142,Sudan,1623,86,11,461,769,293,3,SDN,729,AF
143,Suriname,116,24, - ,87, - , - , - ,SUR,740,SA
144,Swaziland,26, - , - ,18, - , - , - ,SWZ,748,AF
145,Sweden,1194,53,418,631,69,14,9,SWE,752,EU
146,Switzerland,1007,23,540,368,54,16,6,CHE,756,EU
147,Tajikistan,523,20,34,170,238,61, - ,TJK,762,AS
148,Thailand,12093,297,369,3244,28,8029,126,THA,764,AS
149,Togo,1491,151,12,675,518,123,12,TGO,768,AF
150,Tonga,317,100, - ,204, - , - , - ,TON,776,OC
151,Tunisia,1375,19,37,341,37,933,8,TUN,788,AF
152,Turkey,8762,239,992,1721,1091,4696,23,TUR,792,AS
153,Turkmenistan,179, - ,12,58,76,24, - ,TKM,795,AS
154,Uganda,3199,115,121,758,192,2009,4,UGA,800,AF
155,Ukraine,7809,784,726,4535,1226,509,29,UKR,804,EU
156,United Arab Emirates,2714,432,589,725,353,576,39,ARE,784,AS
157,United Kingdom,14653,813,6589,6941,230,28,52,GBR,826,EU
158,Uruguay,1023,31,89,812,6,47,38,URY,858,SA
159,Uzbekistan,3675,362,83,750,2254,205,21,UZB,860,AS
160,"Venezuela, Bolivarian Republic of",8985,756,1991,4663,708,818,49,VEN,862,SA
161,Yemen,1636,284, - ,1083,106,139, - ,YEM,887,AS
162,Zambia,490,28,48,276,28,107,3,ZMB,894,AF
163,Zimbabwe,820,60,107,288,26,329,10,ZWE,716,AF
