Region and country of last residence 1,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,2014,2015
Switzerland,3148.00,4430.00,4819.00,24423.00,21124.00,25212.00,81151.00,37020.00,32541.00,22839.00,31772.00,5990.00,9904.00,17577.00,19193.00,8536.00,8316.00,11768.00,12173.00,868.00,861.00,916.00,1040.00,888.00,1007.00
United Kingdom 11,26336.00,74350.00,218572.00,445322.00,532956.00,578447.00,810900.00,328759.00,469518.00,371878.00,342762.00,61813.00,131794.00,195709.00,220213.00,133218.00,153644.00,156182.00,171979.00,14781.00,13443.00,13938.00,15321.00,14395.00,14653.00
Yugoslavia 12,-,-,-,-,-,-,-,-,-,-,49215.00,6920.00,2039.00,6966.00,17990.00,31862.00,16267.00,57039.00,131831.00,4772.00,4611.00,4488.00,4445.00,4321.00,4721.00
Other Europe,3.00,40.00,79.00,14.00,10.00,626.00,1070.00,145.00,514.00,6527.00,21330.00,9068.00,5387.00,7231.00,6814.00,5242.00,3447.00,29087.00,290871.00,22608.00,20316.00,16865.00,17839.00,17684.00,19083.00
Asia,34.00,55.00,121.00,36080.00,54408.00,134071.00,71152.00,61304.00,300441.00,269736.00,126740.00,19292.00,34532.00,135844.00,358563.00,1406526.00,2391356.00,2859899.00,3470835.00,410209.00,438580.00,416488.00,389301.00,419382.00,405854.00
China,3.00,8.00,32.00,35933.00,54028.00,133139.00,65797.00,15268.00,19884.00,20916.00,30648.00,5874.00,16072.00,8836.00,14060.00,17627.00,170897.00,342058.00,591711.00,67634.00,83603.00,78184.00,68410.00,72492.00,70977.00
Hong Kong ,-,-,-,-,-,-,-,-,-,-,-,-,-,13781.00,67047.00,117350.00,112132.00,116894.00,57583.00,3263.00,3149.00,2642.00,2614.00,2515.00,2426.00
India,9.00,38.00,33.00,42.00,50.00,166.00,247.00,102.00,3026.00,3478.00,2076.00,554.00,1692.00,1922.00,18638.00,148018.00,231649.00,352528.00,590464.00,66185.00,66331.00,63320.00,65506.00,74451.00,61380.00
Iran ,-,-,7.00,-,4.00,17.00,18.00,26.00,-,-,208.00,198.00,1144.00,3195.00,9059.00,33763.00,98141.00,76899.00,76755.00,9078.00,9015.00,8955.00,9658.00,8894.00,9074.00
Israel ,-,-,-,-,-,-,-,-,-,-,-,-,98.00,21376.00,30911.00,36306.00,43669.00,41340.00,54081.00,5172.00,4389.00,4640.00,4555.00,4251.00,4324.00
