COUNTRY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Total,"1,266,129","1,052,415","1,107,126","1,130,818","1,042,625","1,062,040","1,031,631","990,553","1,016,518","1,051,031"
Afghanistan,"3,417","1,753","2,813","3,165","2,017","1,648","1,617","2,196","10,527","8,328"
Albania,"7,914","5,737","5,754","5,137","4,711","3,612","3,364","3,186","3,828","4,653"
Algeria,"1,300","1,036","1,037","1,485","1,305","1,364","1,369","1,241","1,669","1,775"
American Samoa,28,11,14,19,14,D,-,D,-,-
Angola,272,199,221,173,148,148,187,143,148,154
Anguilla,32,25,22,21,19,25,23,22,20,22
Antigua-Barbuda,570,415,444,437,359,368,337,344,369,290
Argentina,"7,327","5,645","5,353","5,780","4,399","4,473","4,359","4,372","3,874","3,730"
Armenia,"6,317","4,351","3,586","3,442","2,979","2,983","2,681","2,722","2,913","2,962"
Aruba,51,55,36,38,49,39,54,45,40,38
Australia,"3,249","2,518","2,464","2,622","2,512","2,343","2,414","2,759","2,809","3,034"
Austria,524,485,443,512,442,424,407,415,438,474
Azerbaijan,"2,371","1,166","1,071",834,781,728,663,637,672,676
Bahamas,847,738,682,751,652,668,619,630,654,725
Bahrain,148,133,96,120,104,119,104,115,122,145
Bangladesh,"14,644","12,074","11,753","16,651","14,819","16,707","14,705","12,099","14,645","13,570"
Barbados,959,689,585,603,465,455,460,428,384,376
Belarus,"3,086","2,328","2,390","2,407","2,038","1,964","1,659","1,970","2,015","1,994"
Belgium,716,638,642,686,592,567,574,675,632,662
Belize,"1,252","1,073","1,077","1,041",965,905,847,946,789,772
Benin,275,258,317,401,486,462,415,342,517,466
Bermuda,160,108,92,108,72,71,85,88,106,112
Bhutan,78,52,42,594,"6,109","10,137","10,198","8,954","7,298","6,325"
Bolivia,"4,025","2,590","2,436","2,837","2,253","2,173","1,948","2,071","1,719","1,626"
Bosnia-Herzegovina,"3,789","1,569","1,491","1,501",946,878,815,697,693,859
Botswana,53,49,41,55,66,76,80,53,58,61
Brazil,"17,903","14,295","12,195","14,701","12,258","11,763","11,441","11,033","10,429","11,424"
British Virgin Islands,47,40,53,46,46,37,39,45,56,38
Brunei,25,32,18,26,20,25,19,21,25,21
Bulgaria,"4,828","3,981","2,960","3,133","2,570","2,661","2,440","2,844","2,981","2,688"
Burkina Faso,221,238,238,416,377,433,558,585,583,575
Burma,"4,562","3,130","3,403","13,621","12,925","16,518","17,383","12,565","11,144","12,808"
Burundi,320,257,255,"1,505",841,593,535,260,273,351
Cambodia,"5,773","4,246","3,713","3,771","2,986","2,745","2,473","2,624","2,536","1,868"
Cameroon,"2,919","3,392","3,771","3,463","4,161","4,754","3,815","3,908","3,943","4,374"
Canada,"18,207","15,495","15,109","16,140","13,328","12,800","12,932","13,181","11,586","12,673"
Cape Verde,"1,780","2,048","1,916","2,238","1,668","1,808","1,684","1,673","1,154","1,253"
Cayman Islands,65,40,37,45,52,41,44,44,48,53
Central African Republic,51,52,88,107,101,134,116,213,155,234
Chad,73,74,96,102,120,171,155,111,119,175
Chile,"2,774","2,274","2,017","2,250","1,950","1,853","1,673","1,736","1,581","1,596"
"China, People's Republic","87,307","76,655","80,271","64,238","70,863","87,016","81,784","71,798","76,089","74,558"
Colombia,"43,144","33,187","30,213","27,849","22,406","22,635","20,931","21,131","18,175","17,316"
Comoros,7,7,D,D,4,8,10,D,9,5
"Congo, Democratic Republic",738,"1,129","1,261","2,122","1,764","2,424","3,731","2,792","4,347","5,345"
"Congo, Republic","1,600",972,950,"1,563",968,"1,371","1,461","1,059",552,496
Costa Rica,"3,109","2,540","2,090","2,384","2,164","2,135","2,020","2,114","1,966","2,029"
Cote d'Ivoire,"2,067","1,193","1,645","2,159","1,621","1,302","1,760","1,486","1,477","1,497"
Croatia,945,482,455,496,357,349,336,353,297,348
Cuba,"45,614","29,104","49,500","38,954","33,573","36,452","32,820","32,219","46,679","54,396"
Curacao,X,X,X,X,X,-,-,-,27,22
Cyprus,180,137,141,142,122,101,107,126,129,113
Czech Republic,344,287,227,146,190,303,677,676,606,637
Czechoslovakia (former),"1,442",927,862,865,750,466,159,74,74,58
Denmark,699,517,498,603,518,459,459,506,514,609
Djibouti,34,23,39,54,37,56,106,90,190,370
Dominica,471,428,454,484,366,287,125,244,345,229
Dominican Republic,"38,068","28,024","31,879","49,414","53,870","46,109","41,566","41,311","44,577","50,610"
Ecuador,"17,489","12,248","11,663","12,128","11,492","11,103","9,342","10,591","10,960","10,187"
Egypt,"10,500","9,267","8,712","8,844","8,978","7,778","8,988","10,294","11,477","12,085"
El Salvador,"31,782","21,127","19,659","19,909","18,806","18,667","16,256","18,260","19,273","19,487"
Equatorial Guinea,13,4,16,32,12,13,20,18,15,25
Eritrea,"1,593","1,081","1,270","1,928","1,656","2,102","2,643","2,138","2,002","2,220"
Estonia,423,368,287,282,260,191,227,211,220,189
Ethiopia,"16,152","12,786","12,917","15,462","14,266","13,793","14,544","13,097","12,300","11,394"
Fiji,"2,115","1,637","1,176","1,194","1,201","1,041",853,895,802,875
Finland,542,426,302,423,397,363,348,331,350,407
France,"4,357","3,494","4,935","4,569","3,919","3,653","3,862","4,425","4,284","4,693"
French Polynesia,37,27,26,30,16,21,30,-,24,14
Gabon,85,95,82,171,138,204,197,127,167,146
Gambia,897,826,739,978,859,972,"1,159","1,018","1,111","1,142"
Georgia,"2,003","1,554","1,620","1,578","1,518","1,490","1,341","1,368","1,240","1,410"
Germany,"8,436","7,582","7,091","7,583","6,888","6,125","5,812","6,032","5,584","5,436"
Ghana,"9,367","7,610","8,195","8,401","7,429","8,798","10,592","10,265","7,115","6,186"
Greece,"1,124",882,769,798,745,949,"1,054","1,361","1,235","1,211"
Grenada,"1,068",751,784,748,664,579,671,687,633,525
Guatemala,"24,133","17,908","16,182","12,187","10,467","11,092","10,341","10,224","10,238","11,773"
Guinea,"1,110","1,088","1,735","1,725","1,379","1,555","1,656","1,518","1,375","1,389"
Guinea-Bissau,25,25,17,20,30,29,47,43,30,39
Guyana,"9,552","5,726","6,823","6,670","6,749","6,599","5,683","5,897","6,267","5,543"
Haiti,"22,226","30,405","26,007","24,280","22,582","22,111","22,818","20,351","15,274","16,967"
Honduras,"8,177","7,646","6,540","6,404","6,448","6,133","6,884","8,898","8,156","9,274"
Hong Kong,"3,256","3,527","3,373","2,651","2,432","2,306","2,104","2,226","2,278","2,085"
Hungary,"1,704","1,266","1,127","1,314","1,022","1,044","1,054","1,052",996,"1,095"
Iceland,145,95,122,131,105,90,103,139,86,104
India,"61,369","65,353","63,352","57,304","69,162","69,013","66,434","68,458","77,908","64,116"
Indonesia,"4,868","3,716","3,606","3,679","3,032","2,856","2,603","2,731","2,139","2,084"
Iran,"13,947","10,460","13,852","18,553","14,182","14,822","12,916","12,863","11,615","13,114"
Iraq,"4,337","3,765","4,795","12,110","19,855","21,133","20,369","9,552","19,153","21,107"
Ireland,"1,906","1,503","1,465","1,637","1,507","1,371","1,514","1,626","1,605","1,607"
Israel,"5,943","4,496","5,851","5,612","4,515","3,826","4,153","3,996","3,805","3,965"
Italy,"3,215","2,569","2,514","2,892","2,579","2,443","2,673","2,960","3,298","3,544"
Jamaica,"24,976","19,375","18,477","21,783","19,825","19,662","20,705","19,400","19,026","17,642"
Japan,"8,265","6,748","6,821","7,690","6,264","6,161","6,061","5,925","5,545","5,395"
Jordan,"4,038","3,917","3,936","4,282","3,868","3,876","4,099","4,188","5,187","4,664"
Kazakhstan,"2,073","1,604","1,630","1,562","1,282","1,235","1,202","1,241","1,221","1,201"
Kenya,"8,779","7,030","6,998","9,880","7,421","7,762","7,043","6,123","5,884","5,602"
Kiribati,8,10,4,10,6,D,6,3,6,D
"Korea, North",NA,NA,NA,67,35,36,49,48,142,55
"Korea, South1","24,386","22,405","26,666","25,859","22,227","22,824","20,846","23,166","20,423","17,138"
Kosovo, X , X , - , - ,355,670,782,839,758,814
Kuwait,"1,230","1,017","1,104","1,124","1,037",973,"1,044",937,"1,057","1,055"
Kyrgyzstan,785,597,632,574,507,542,648,652,707,790
Laos,"2,892","2,575","2,198","1,688","1,200",956,949,923,806,917
Latvia,892,568,455,444,435,426,436,424,384,480
Lebanon,"4,083","4,267","4,254","3,831","3,487","3,295","2,879","2,783","3,245","2,813"
Lesotho,18,14,16,14,23,25,17,20,13,23
Liberia,"6,887","4,102","7,193","7,641","4,837","4,151","4,109","3,334","3,874","3,795"
Libya,271,186,285,296,355,357,315,376,524,734
Lithuania,"1,885","1,361",967,"1,069",985,936,924,854,747,750
Luxembourg,28,39,28,30,22,24,19,40,26,27
Macau,189,178,205,158,143,130,120,106,105,99
Macedonia,"1,317","1,227","1,107","1,128",963,"1,078",906,895,960,"1,060"
Madagascar,72,53,77,71,80,83,79,95,86,72
Malawi,131,123,133,164,164,123,192,159,172,160
Malaysia,"2,281","2,149","1,945","2,014","1,714","2,273","2,605","2,477","2,622","2,749"
Maldives,D,9,D,6,5,3,D,5,13,8
Mali,408,412,523,576,528,629,734,667,604,587
Malta,70,53,66,58,74,51,62,43,39,58
Marshall Islands,53,48,39,48,37,38,50,46,56,32
Mauritania,720,651,844,597,495,393,410,354,320,298
Mauritius,108,88,83,110,84,101,77,83,81,96
Mexico,"173,749","148,640","189,989","164,920","139,120","143,446","146,406","135,028","134,052","158,619"
"Micronesia, Federated States",12,7,13,16,10,9,13,4,5,6
Moldova,"3,036","1,356","1,692","2,295","1,981","2,258","2,021","2,485","2,341","2,496"
Monaco,D,6,7,4,12,6,5,8,8,10
Mongolia,497,530,659,831,594,774,691,729,651,644
Montenegro, X , - , - ,-,120,204,265,265,289,251
Montserrat,90,66,61,43,27,30,27,-,38,14
Morocco,"4,949","4,513","4,425","5,447","5,013","4,399","3,656","3,336","3,605","3,710"
Mozambique,78,81,69,66,53,60,94,73,71,107
Namibia,56,57,46,53,60,43,59,57,44,86
Nepal,"3,733","3,472","4,093","4,514","7,115","10,166","11,312","13,046","12,357","12,926"
Netherlands,"1,651","1,368","1,240","1,499","1,321","1,085","1,091","1,142","1,195","1,309"
Netherlands Antilles (former),100,93,78,97,77,86,106,128,45,22
New Caledonia,7,5,5,13,6,5,3,6,6,9
New Zealand,"1,100","1,047",893,947,919,803,814,921,796,855
Nicaragua,"4,145","3,716","3,614","4,137","3,565","3,401","3,046","3,048","2,886","3,324"
Niger,116,97,107,183,96,96,48,37,71,55
Nigeria,"13,459","12,448","12,475","15,253","13,376","11,824","13,575","13,840","12,828","11,542"
Norway,481,343,350,407,334,339,276,335,271,310
Oman,155,103,70,74,63,60,74,73,90,85
Pakistan,"17,418","13,492","19,719","21,555","18,258","15,546","14,740","13,251","18,612","18,057"
Palau,8,11,6,16,18,7,10,16,12,15
Panama,"2,418","1,916","1,678","1,806","1,536","1,374","1,281","1,234","1,095","1,052"
Papua New Guinea,30,31,15,19,30,20,21,27,18,11
Paraguay,719,545,481,530,467,500,467,448,391,382
Peru,"21,718","17,699","15,184","16,957","14,247","14,064","12,609","12,564","10,606","10,148"
Philippines,"74,606","72,596","54,030","60,029","58,173","57,011","57,327","54,446","49,996","56,478"
Poland,"17,051","10,355","8,354","8,754","7,643","6,863","6,300","6,430","5,689","5,275"
Portugal,"1,409","1,019",772,946,755,821,811,918,892,857
Qatar,226,138,151,134,148,193,141,191,202,229
Romania,"7,137","5,802","4,930","4,910","4,003","3,882","3,748","3,773","3,246","3,376"
Russia,"13,159","9,426","11,695","8,238","6,718","7,944","9,969","9,753","9,079","8,799"
Rwanda,502,357,378,952,489,520,592,540,555,732
Saint Kitts-Nevis,458,347,363,310,339,350,311,259,263,222
Saint Lucia,"1,212",928,946,"1,027",872,785,919,853,844,739
Saint Vincent and the Grenadines,756,567,568,591,576,468,503,529,448,415
Samoa,283,290,227,250,219,267,238,237,239,207
Sao Tome and Principe,6,7,7,11,10,9,12,6,5,6
Saudi Arabia,"1,542","1,171","1,194","1,418","1,263","1,396","1,343","1,463","1,696","1,744"
Senegal,"1,367","1,024","1,149","1,524","1,285","1,424","1,615","1,340","1,273","1,244"
Serbia, X , - , - ,-,20,244,704,866,"1,143","1,278"
Serbia and Montenegro (former),"5,891","3,586","3,255","3,166","2,196","1,398",801,653,267,232
Seychelles,15,7,16,10,8,15,7,6,7,11
Sierra Leone,"3,572","1,999","2,795","2,687","2,011","1,985","1,688","1,651","1,740","1,599"
Singapore,997,985,922,832,774,690,712,835,779,781
Sint Maarten,X,X,X,X,X,-,-,-,45,45
Slovakia,"1,111",763,653,706,538,594,528,507,460,424
Slovenia,115,87,79,108,74,69,86,62,78,107
Solomon Islands,5,10,7,D,6,D,D,3,5,D
Somalia,"9,462","6,251","10,745","13,390","4,558","4,451","5,204","3,764","5,190","6,796"
South Africa,"3,201","2,988","2,723","3,171","2,758","2,649","2,781","2,629","2,676","2,907"
South Sudan,X,X,X,X,X,-,17,59,74,127
Soviet Union (former),"6,229","5,090","5,270","5,911","4,978","3,687","1,296","1,264","1,136","1,022"
Spain,"1,971","1,578","1,621","1,769","1,684","1,890","1,842","2,480","2,928","3,303"
Sri Lanka,"2,191","1,831","1,935","2,009","2,036","2,053","1,994","1,847","1,767","1,763"
Sudan,"5,504","2,930","3,598","3,577","2,397","2,628","2,471","1,945","2,442","3,580"
Suriname,314,197,218,227,216,196,187,178,158,134
Swaziland,11,13,18,42,22,19,24,15,23,19
Sweden,"1,376","1,145","1,019","1,138","1,097",979,968,"1,106",954,"1,066"
Switzerland,983,705,720,798,675,615,635,697,656,640
Syria,"2,918","2,385","2,641","2,442","2,555","2,785","3,014","3,366","3,540","3,840"
Taiwan,"8,086","8,990","9,073","8,038","6,732","6,154","5,331","5,385","4,697","4,888"
Tajikistan,239,172,231,265,299,382,411,550,516,595
Tanzania,949,832,838,"2,773","1,850","1,427","1,516",837,774,799
Thailand,"11,749","8,751","6,637","10,444","9,384","9,962","9,459","7,583","6,197","7,502"
Togo,"1,720","1,565","1,661","1,680","1,563","1,506","1,756","1,257","1,612","1,547"
Tonga,437,438,365,379,343,408,276,348,320,327
Trinidad and Tobago,"8,854","6,829","5,937","6,256","5,435","5,023","5,214","4,724","3,988","3,212"
Tunisia,510,417,410,416,418,440,422,445,429,518
Turkey,"4,941","4,425","4,210","4,958","4,483","4,403","4,162","4,144","3,834","4,201"
